"facility_id","name","address","city","state","zip_code","county","telephone","hospital_type","hospital_ownership","emergency_services","bed_count"
"10001","SOUTHEAST HEALTH MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","Alabama","36301","HOUSTON","(334) 793-8701","Acute Care Hospitals","Government - Hospital District or Authority","Yes","202"
"10005","MARSHALL MEDICAL CENTERS","2505 U S HIGHWAY 431 NORTH","BOAZ","Alabama","35957","MARSHALL","(256) 593-8310","Acute Care Hospitals","Government - Hospital District or Authority","Yes","448"
"10006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","Alabama","35630","LAUDERDALE","(256) 629-1000","Acute Care Hospitals","Proprietary","Yes","370"
"10007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","Alabama","36467","COVINGTON","(334) 493-3541","Acute Care Hospitals","Voluntary non-profit - Private","Yes","206"
"10008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","Alabama","36049","CRENSHAW","(334) 335-3374","Acute Care Hospitals","Proprietary","Yes","171"
"10011","ST. VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","Alabama","35235","JEFFERSON","(205) 838-3122","Acute Care Hospitals","Voluntary non-profit - Private","Yes","288"
"10012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","Alabama","35968","DE KALB","(256) 845-3150","Acute Care Hospitals","Proprietary","Yes","120"
"10016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","Alabama","35007","SHELBY","(205) 620-8100","Acute Care Hospitals","Voluntary non-profit - Private","Yes","202"
"10018","CALLAHAN EYE HOSPITAL","1720 UNIVERSITY BLVD STE 305","BIRMINGHAM","Alabama","35233","JEFFERSON","(205) 325-8596","Acute Care Hospitals","Voluntary non-profit - Private","Yes","221"
"10019","HELEN KELLER HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","Alabama","35660","COLBERT","(256) 386-4556","Acute Care Hospitals","Government - Hospital District or Authority","Yes","314"
"10021","DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","Alabama","36360","DALE","(334) 774-2601","Acute Care Hospitals","Government - Hospital District or Authority","Yes","430"
"10022","FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","CENTRE","Alabama","35960","CHEROKEE","(256) 927-5531","Acute Care Hospitals","Proprietary","Yes","187"
"10023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","MONTGOMERY","Alabama","36116","MONTGOMERY","(334) 288-2100","Acute Care Hospitals","Government - Hospital District or Authority","Yes","472"
"10024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","MONTGOMERY","Alabama","36106","MONTGOMERY","(334) 293-8000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","199"
"10029","THE EAST ALABAMA HEALTHCARE AUTHORITY","2000 PEPPERELL PARKWAY","OPELIKA","Alabama","36801","LEE","(334) 749-3411","Acute Care Hospitals","Government - Hospital District or Authority","Yes","459"
"10033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","BIRMINGHAM","Alabama","35233","JEFFERSON","(205) 934-4011","Acute Care Hospitals","Government - State","Yes","251"
"10034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","TALLASSEE","Alabama","36078","ELMORE","(334) 283-6541","Acute Care Hospitals","Voluntary non-profit - Private","Yes","230"
"10035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","CULLMAN","Alabama","35058","CULLMAN","(256) 737-2000","Acute Care Hospitals","Government - Hospital District or Authority","Yes","249"
"10036","ANDALUSIA HEALTH","849 SOUTH THREE NOTCH STREET","ANDALUSIA","Alabama","36420","COVINGTON","(334) 222-8466","Acute Care Hospitals","Proprietary","Yes","408"
"10039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","HUNTSVILLE","Alabama","35801","MADISON","(256) 265-1000","Acute Care Hospitals","Government - Hospital District or Authority","Yes","357"
"10040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","GADSDEN","Alabama","35903","ETOWAH","(256) 494-4000","Acute Care Hospitals","Proprietary","Yes","443"
"10044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","HAMILTON","Alabama","35570","MARION","(205) 921-6200","Acute Care Hospitals","Voluntary non-profit - Private","Yes","393"
"10045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","FAYETTE","Alabama","35555","FAYETTE","(205) 932-5966","Acute Care Hospitals","Voluntary non-profit - Other","Yes","485"
"10046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","GADSDEN","Alabama","35901","ETOWAH","(256) 543-5200","Acute Care Hospitals","Proprietary","Yes","291"
"10049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","ENTERPRISE","Alabama","36330","COFFEE","(334) 347-0584","Acute Care Hospitals","Proprietary","Yes","376"
"10051","GREENE COUNTY HOSPITAL","509 WILSON AVENUE","EUTAW","Alabama","35462","GREENE","(205) 372-3388","Acute Care Hospitals","Voluntary non-profit - Other","Yes","260"
"10052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","DADEVILLE","Alabama","36853","TALLAPOOSA","(256) 825-7821","Acute Care Hospitals","Proprietary","Yes","413"
"10055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","DOTHAN","Alabama","36305","HOUSTON","(334) 793-5000","Acute Care Hospitals","Proprietary","Yes","121"
"10056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","BIRMINGHAM","Alabama","35205","JEFFERSON","(205) 939-7000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","352"
"10058","BIBB MEDICAL CENTER","208 PIERSON AVE","CENTREVILLE","Alabama","35042","BIBB","(205) 926-4881","Acute Care Hospitals","Government - Hospital District or Authority","Yes","335"
"10059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","MOULTON","Alabama","35650","LAWRENCE","(256) 974-2200","Acute Care Hospitals","Government - Hospital District or Authority","Yes","444"
"10061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","SCOTTSBORO","Alabama","35768","JACKSON","(256) 259-4444","Acute Care Hospitals","Government - Hospital District or Authority","Yes","148"
"10062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","GENEVA","Alabama","36340","GENEVA","(334) 684-3655","Acute Care Hospitals","Government - Hospital District or Authority","Yes","158"
"10065","RUSSELL MEDICAL CENTER","3316 HIGHWAY 280","ALEXANDER CITY","Alabama","35010","TALLAPOOSA","(256) 329-7100","Acute Care Hospitals","Voluntary non-profit - Private","Yes","269"
"10069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","EUFAULA","Alabama","36027","BARBOUR","(334) 688-7271","Acute Care Hospitals","Government - Hospital District or Authority","Yes","287"
