city,state,country,latitude,longitude
Abohar,Punjab,India,30.144533,74.19552
Adilabad,Telangana,India,19.4,78.31
Agartala,Tripura,India,23.836049,91.279386
Agra,Uttar Pradesh,India,27.187935,78.003944
Ahmadnagar,Maharashtra,India,19.094571,74.738432
Ahmedabad,Gujarat,India,23.025793,72.587265
Aizawl  ,Mizoram,India,23.736701,92.714596
Ajmer,Rajasthan,India,26.452103,74.638667
Akola,Maharashtra,India,20.709569,76.998103
Alappuzha,Kerala,India,9.494647,76.331108
Aligarh,Uttar Pradesh,India,27.881453,78.07464
Alipurduar,West Bengal,India,26.4835,89.522855
Allahabad,Uttar Pradesh,India,25.44478,81.843217
Alwar,Rajasthan,India,27.566291,76.610202
Ambala,Haryana,India,30.360993,76.797819
Amaravati,Maharashtra,India,20.933272,77.75152
Amritsar,Punjab,India,31.622337,74.875335
Asansol,West Bengal,India,23.683333,86.983333
Aurangabad,Maharashtra,India,19.880943,75.346739
Aurangabad,Bihar,India,24.752037,84.374202
Bakshpur,Uttar Pradesh,India,25.894283,80.792104
Bamanpuri,Uttar Pradesh,India,28.804495,79.040305
Baramula,Jammu and Kashmir,India,34.209004,74.342853
Barddhaman,West Bengal,India,23.255716,87.856906
Bareilly,Uttar Pradesh,India,28.347023,79.421934
Belgaum,Karnataka,India,15.862643,74.508534
Bellary,Karnataka,India,15.142049,76.92398
Bengaluru,Karnataka,India,12.977063,77.587106
Bhagalpur,Bihar,India,25.244462,86.971832
Bharatpur,Rajasthan,India,27.215251,77.492786
Bharauri,Uttar Pradesh,India,27.598203,81.694709
Bhatpara,West Bengal,India,22.866431,88.401129
Bhavnagar,Gujarat,India,21.774455,72.152496
Bhilai,Chhattisgarh,India,21.209188,81.428497
Bhilwara,Rajasthan,India,25.347071,74.640812
Bhiwandi,Maharashtra,India,19.300229,73.058813
Bhiwani,Haryana,India,28.793044,76.13968
Bhopal ,Madhya Pradesh,India,23.254688,77.402892
Bhubaneshwar,Odisha,India,20.272411,85.833853
Bhuj,Gujarat,India,23.253972,69.669281
Bhusaval,Maharashtra,India,21.043649,75.785058
Bidar,Karnataka,India,17.913309,77.530105
Bijapur,Karnataka,India,16.827715,75.718988
Bikaner,Rajasthan,India,28.017623,73.314955
Bilaspur,Chhattisgarh,India,22.080046,82.155431
Brahmapur,Odisha,India,19.311514,84.792903
Budaun,Uttar Pradesh,India,28.038114,79.126677
Bulandshahr,Uttar Pradesh,India,28.403922,77.857731
Calicut,Kerala,India,11.248016,75.780402
Chanda,Maharashtra,India,19.950758,79.295229
Chandigarh ,Chandigarh,India,30.736292,76.788398
Chennai,Tamil Nadu ,India,13.084622,80.248357
Chikka Mandya,Karnataka,India,12.545602,76.895078
Chirala,Andhra Pradesh,India,15.823849,80.352187
Coimbatore,Tamil Nadu ,India,11.005547,76.966122
Cuddalore,Tamil Nadu ,India,11.746289,79.764362
Cuttack,Odisha,India,20.522922,85.78813
Daman,Daman and Diu,India,20.414315,72.83236
Davangere,Karnataka,India,14.469237,75.92375
DehraDun,Uttarakhand,India,30.324427,78.033922
Delhi,Delhi,India,28.651952,77.231495
Dhanbad,Jharkhand,India,23.801988,86.443244
Dibrugarh,Assam,India,27.479888,94.90837
Dindigul,Tamil Nadu ,India,10.362853,77.975827
Dispur,Assam,India,26.135638,91.800688
Diu,Daman and Diu,India,20.715115,70.987952
Faridabad,Haryana,India,28.411236,77.313162
Firozabad,Uttar Pradesh,India,27.150917,78.397808
Fyzabad,Uttar Pradesh,India,26.775486,82.150182
Gangtok,Sikkim,India,27.325739,88.612155
Gaya,Bihar,India,24.796858,85.003852
Ghandinagar,Gujarat,India,23.216667,72.683333
Ghaziabad,Uttar Pradesh,India,28.665353,77.439148
Gopalpur,Uttar Pradesh,India,26.735389,83.38064
Gulbarga,Karnataka,India,17.335827,76.83757
Guntur,Andhra Pradesh,India,16.299737,80.457293
Gurugram,Haryana,India,28.460105,77.026352
Guwahati,Assam,India,26.176076,91.762932
Gwalior,Madhya Pradesh,India,26.229825,78.173369
Haldia,West Bengal,India,22.025278,88.058333
Haora,West Bengal,India,22.576882,88.318566
Hapur,Uttar Pradesh,India,28.729845,77.780681
Haripur,Punjab,India,31.463218,75.986418
Hata,Uttar Pradesh,India,27.592698,78.013843
Hindupur,Andhra Pradesh,India,13.828065,77.491425
Hisar,Haryana,India,29.153938,75.722944
Hospet,Karnataka,India,15.269537,76.387103
Hubli,Karnataka,India,15.349955,75.138619
Hyderabad,Telangana,India,17.384052,78.456355
Imphal,Manipur,India,24.808053,93.944203
Indore,Madhya Pradesh,India,22.717736,75.85859
Itanagar,Arunachal Pradesh,India,27.102349,93.692047
Jabalpur,Madhya Pradesh,India,23.174495,79.935903
Jaipur,Rajasthan,India,26.913312,75.787872
Jammu,Jammu and Kashmir,India,32.735686,74.869112
Jamshedpur,Jharkhand,India,22.802776,86.185448
Jhansi,Uttar Pradesh,India,25.458872,78.579943
Jodhpur,Rajasthan,India,26.26841,73.005943
Jorhat,Assam,India,26.757509,94.203055
Kagaznagar,Andhra Pradesh,India,19.331589,79.466051
Kakinada,Andhra Pradesh,India,16.960361,82.238086
Kalyan,Maharashtra,India,19.243703,73.135537
Karimnagar,Telangana,India,18.436738,79.13222
Karnal,Haryana,India,29.691971,76.984483
Karur,Tamil Nadu ,India,10.960277,78.076753
Kavaratti,Lakshadweep,India,10.566667,72.616667
Khammam,Telangana,India,17.247672,80.143682
Khanapur,Maharashtra,India,21.273716,76.117376
Kochi,Kerala,India,9.947743,76.253802
Kohima,Nagaland,India,25.674673,94.110988
Kolar,Karnataka,India,13.137679,78.129989
Kolhapur,Maharashtra,India,16.695633,74.231669
Kolkata ,West Bengal,India,22.562627,88.363044
Kollam,Kerala,India,8.881131,76.584694
Kota,Rajasthan,India,25.182544,75.839065
Krishnanagar,West Bengal,India,23.405761,88.490733
Krishnapuram,Tamil Nadu ,India,12.869617,79.719469
Kumbakonam,Tamil Nadu ,India,10.959789,79.377472
Kurnool,Andhra Pradesh,India,15.828865,78.036021
Latur,Maharashtra,India,18.399487,76.584252
Lucknow,Uttar Pradesh,India,26.839281,80.923133
Ludhiana,Punjab,India,30.912042,75.853789
Machilipatnam,Andhra Pradesh,India,16.187466,81.13888
Madurai,Tamil Nadu ,India,9.917347,78.119622
Mahabubnagar,Telangana,India,16.75,78.0
Malegaon Camp,Maharashtra,India,20.569974,74.515415
Mangalore,Karnataka,India,12.865371,74.842432
